Seltjarnarneskirkja,HF-1-4,,,,,,
Austurströnd 1,HF-7-5,,,,,,
Austurströnd 2,HB-7-,,,,,,
Austurströnd 3,HF-7-5,,,,,,
Austurströnd 4,HB-7-,,,,,,
Austurströnd 5,HF-7-,,,,,,
Austurströnd 5,HF-7-9,,,,,,
Austurströnd 6,HB-7-,,,,,,
Austurströnd 8,HB-7-6,,,,,,
Austurströnd 10,HB-7-6,,,,,,
Austurströnd 12,HB-7-8,,,,,,
Austurströnd 14,HB-7-6,,,,,,
Bakkavör 1,HF-2-31,,,,,,
Bakkavör 2,HF-2-32,HB-2-33,,,,,
Bakkavör 3,HF-2-31,,,,,,
Bakkavör 4,HF-2-32,HB-2-33,,,,,
Bakkavör 5,HF-2-31,,,,,,
Bakkavör 6,HF-2-32,HB-2-33,,,,,
Bakkavör 7,HF-2-31,,,,,,
Bakkavör 8,HF-2-32,HB-2-33,,,,,
Bakkavör 9,HF-2-31,,,,,,
Bakkavör 10,HF-2-32,HB-2-33,,,,,
Bakkavör 11, ,,,,,,
Bakkavör 12,HF-2-32,HB-2-33,,,,,
Bakkavör 14,HF-2-32,HB-2-33,,,,,
Bakkavör 16,HF-2-32,HB-2-33,,,,,
Bakkavör 18,HF-2-32,HB-2-33,,,,,
Bakkavör 20,HF-2-32,HB-2-33,,,,,
Bakkavör 22,HF-2-32,HB-2-33,,,,,
Bakkavör 24,HF-2-32,HB-2-33,,,,,
Bakkavör 26,HF-2-32,HB-2-33,,,,,
Bakkavör 28,HF-2-32,HB-2-33,,,,,
Bakkavör 30,HF-2-32,HB-2-33,,,,,
Bakkavör 32,HF-2-32,HB-2-33,,,,,
Bakkavör 34,HF-2-32,HB-2-33,,,,,
Bakkavör 36,HF-2-32,HB-2-33,,,,,
Bakkavör 38,HF-2-32,HB-2-33,,,,,
Bakkavör 40,HF-2-32,HB-2-33,,,,,
Bakkavör 42,HF-2-32,HB-2-33,,,,,
Bakkavör 44,HF-2-32,HB-2-33,,,,,
Barðaströnd 1,HF-5-3,,,,,,
Barðaströnd 2,HF-5-3,,,,,,
Barðaströnd 3,HF-5-3,,,,,,
Barðaströnd 4,HF-5-3,,,,,,
Barðaströnd 5,HF-5-3,,,,,,
Barðaströnd 6, ,,,,,,
Barðaströnd 7,HF-5-3,,,,,,
Barðaströnd 8, ,,,,,,
Barðaströnd 9,HF-5-3,,,,,,
Barðaströnd 10, ,,,,,,
Barðaströnd 11,HF-5-3,,,,,,
Barðaströnd 12, ,,,,,,
Barðaströnd 13,HF-5-3,,,,,,
Barðaströnd 14, ,,,,,,
Barðaströnd 15,HF-5-3,,,,,,
Barðaströnd 16,HF-5-1,,,,,,
Barðaströnd 17,HF-5-3,,,,,,
Barðaströnd 18,HF-5-1,,,,,,
Barðaströnd 19,HF-5-3,,,,,,
Barðaströnd 20,HF-5-1,,,,,,
Barðaströnd 21,HF-5-3,,,,,,
Barðaströnd 23,HF-5-3,,,,,,
Barðaströnd 25, ,,,,,,
Barðaströnd 27, ,,,,,,
Barðaströnd 29, ,,,,,,
Barðaströnd 31, ,,,,,,
Barðaströnd 33, ,,,,,,
Barðaströnd 35, ,,,,,,
Barðaströnd 37, ,,,,,,
Barðaströnd 39, ,,,,,,
Barðaströnd 41, ,,,,,,
Barðaströnd 43, ,,,,,,
Barðaströnd 45,HF-5-1,,,,,,
Barðaströnd 47,HF-5-1,,,,,,
Barðaströnd 49,HF-5-1,,,,,,
Barðaströnd 51,HF-5-1,,,,,,
Bygggarðar 2, ,,,,,,
Bygggarðar 2a, ,,,,,,
Bygggarðar 2b, ,,,,,,
Bygggarðar 5, ,,,,,,
Bygggarðar 4, ,,,,,,
Bygggarðar 3, ,,,,,,
Bygggarðar 6, ,,,,,,
Bygggarðar 10, ,,,,,,
Bygggarðar 12, ,,,,,,
Bollagarðar 1, ,,,,,,
Bollagarðar 2, ,,,,,,
Bollagarðar 3, ,,,,,,
Bollagarðar 4, ,,,,,,
Bollagarðar 5, ,,,,,,
Bollagarðar 6, ,,,,,,
Bollagarðar 7, ,,,,,,
Bollagarðar 8, ,,,,,,
Bollagarðar 9, ,,,,,,
Bollagarðar 10, ,,,,,,
Bollagarðar 11, ,,,,,,
Bollagarðar 12, ,,,,,,
Bollagarðar 13, ,,,,,,
Bollagarðar 14, ,,,,,,
Bollagarðar 15, ,,,,,,
Bollagarðar 16, ,,,,,,
Bollagarðar 17, ,,,,,,
Bollagarðar 18,HF-3-47,,,,,,
Bollagarðar 19, ,,,,,,
Bollagarðar 20,HF-3-49,,,,,,
Bollagarðar 21,HF-3-48,,,,,,
Bollagarðar 22, ,,,,,,
Bollagarðar 23, ,,,,,,
Bollagarðar 24,HF-3-48,,,,,,
Bollagarðar 25,HF-3-48,,,,,,
Bollagarðar 26, ,,,,,,
Bollagarðar 27, ,,,,,,
Bollagarðar 29, ,,,,,,
Bollagarðar 31, ,,,,,,
Bollagarðar 33, ,,,,,,
Bollagarðar 35, ,,,,,,
Bollagarðar 37, ,,,,,,
Bollagarðar 39, ,,,,,,
Bollagarðar 41, ,,,,,,
Bollagarðar 43, ,,,,,,
Bollagarðar 45, ,,,,,,
Bollagarðar 47, ,,,,,,
Bollagarðar 49, ,,,,,,
Bollagarðar 51, ,,,,,,
Bollagarðar 53, ,,,,,,
Bollagarðar 55, ,,,,,,
Bollagarðar 57, ,,,,,,
Bollagarðar 59, ,,,,,,
Bollagarðar 61, ,,,,,,
Bollagarðar 63, ,,,,,,
Bollagarðar 65,HF-3-50,,,,,,
Bollagarðar 67,HF-3-50,,,,,,
Bollagarðar 69,HF-3-50,,,,,,
Bollagarðar 71,HF-3-50,,,,,,
Bollagarðar 77,HF-3-50,,,,,,
Bollagarðar 79,HF-3-50,,,,,,
Bollagarðar 81,HF-3-50,,,,,,
Bollagarðar 83,HF-3-50,,,,,,
Bollagarðar 85,HF-3-51,,,,,,
Bollagarðar 87,HF-3-51,,,,,,
Bollagarðar 89,HF-3-51,,,,,,
Bollagarðar 91,HF-3-51,,,,,,
Bollagarðar 93,HF-3-51,,,,,,
Bollagarðar 95,HF-3-51,,,,,,
Bollagarðar 97,HF-3-51,,,,,,
Bollagarðar 99,HF-3-51,,,,,,
Bollagarðar 101,HF-3-52,,,,,,
Bollagarðar 103,HF-3-52,,,,,,
Bollagarðar 105,HF-3-52,,,,,,
Bollagarðar 107,HF-3-52,,,,,,
Bollagarðar 109,HF-3-52,,,,,,
Bollagarðar 111,HF-3-52,,,,,,
Bollagarðar 113,HF-3-53,,,,,,
Bollagarðar 115,HF-3-53,,,,,,
Bollagarðar 117,HF-3-53,,,,,,
Bollagarðar 119,HF-3-53,,,,,,
Bollagarðar 121,HF-3-53,,,,,,
Eiðismýri 1,HF-8-18,HB-8-17,,,,,
Eiðismýri 2,HF-8-30,HB-8-29,,,,,
Eiðismýri 3,HF-8-18,HB-8-17,,,,,
Eiðismýri 4,HF-8-30,HB-8-29,,,,,
Eiðismýri 5,HF-8-18,HB-8-17,,,,,
Eiðismýri 6,HF-8-30,HB-8-29,,,,,
Eiðismýri 7,HF-8-18,HB-8-17,,,,,
Eiðismýri 8,HF-8-30,HB-8-29,,,,,
Eiðismýri 8a,HF-8-30,HB-8-29,,,,,
Eiðismýri 9,HF-8-18,HB-8-17,,,,,
Eiðismýri 10,HF-8-30,HB-8-29,,,,,
Eiðismýri 11,HF-8-18,HB-8-17,,,,,
Eiðismýri 12,HF-8-30,HB-8-29,,,,,
Eiðismýri 13,HF-8-12,HB-8-11,,,,,
Eiðismýri 14,HF-8-30,HB-8-29,,,,,
Eiðismýri 14 A,HF-8-30,HB-8-29,,,,,
Eiðismýri 15,HF-8-12,HB-8-11,,,,,
Eiðismýri 16,HF-8-30,HB-8-29,,,,,
Eiðismýri 18,HF-8-30,HB-8-29,,,,,
Eiðismýri 20,HF-8-30,HB-8-29,,,,,
Eiðismýri 22-28,,,,,,,
Eiðismýri 30,HF-8-12,HB-8-12,,,,,
Eiðistorg 1,HF-7-13,HF-7-14 bílsk.,,,,,
Eiðistorg 3,HF-7-13,HF-7-14 bílsk.,,,,,
Eiðistorg 5,HF-7-13,HF-7-14 bílsk.,,,,,
Eiðistorg 7,HF-7-13,HF-7-14 bílsk.,,,,,
Eiðistorg 9,HF-7-13,HF-7-14 bílsk.,,,,,
Vöruhúsið Eiðistorgi,,,,,,,
Eiðistorg - vöruh.kj.,,,,,,,
Vöruhúsið Eiðistorgi 2. og 3. h.,,,,,,,
Eiðistorg - innkeyrsla,,,,,,,
Eiðistorg 13,,,,,,,
Eiðistorg 15,,,,,,,
Eiðistorg 17,,,,,,,
Eiðistorg,,,,,,,
Fornaströnd 1,,,,,,,
Fornaströnd 2,,,,,,,
Fornaströnd 3,,,,,,,
Fornaströnd 4,,,,,,,
Fornaströnd 5,,,,,,,
Fornaströnd 6,,,,,,,
Fornaströnd 7,,,,,,,
Fornaströnd 8,,,,,,,
Fornaströnd 9,,,,,,,
Fornaströnd 10,,,,,,,
Fornaströnd 11,,,,,,,
Fornaströnd 12,,,,,,,
Fornaströnd 13,,,,,,,
Fornaströnd 14,,,,,,,
Fornaströnd 15,,,,,,,
Fornaströnd 16,,,,,,,
Fornaströnd 17,,,,,,,
Fornaströnd 18,,,,,,,
Fornaströnd 19,,,,,,,
Grænamýri 1,,,,,,,
Grænamýri 2,,,,,,,
Grænamýri 3,,,,,,,
Grænamýri 4,,,,,,,
Grænamýri 5,,,,,,,
Grænamýri 6,,,,,,,
Grænamýri 8,,,,,,,
Grænamýri 7,,,,,,,
Grænamýri 9,,,,,,,
Grænamýri 10,,,,,,,
Grænamýri 12,,,,,,,
Grænamýri 11,,,,,,,
Grænamýri 14,HF-8-35,HF-8-36,,,,,
Grænamýri 16,HF-8-35,HF-8-36,,,,,
Grænamýri 18,HF-8-35,HF-8-36,,,,,
Grænamýri 20,HF-8-35,HF-8-36,,,,,
Grænamýri 22,HF-8-35,HF-8-36,,,,,
Grænamýri 24,HF-8-35,HF-8-36,,,,,
Grænamýri 26,HF-8-35,HF-8-36,,,,,
Grænamýri 28,HF-8-35,HF-8-36,,,,,
Hamarsgata 2,HF-9-1,,,,,,
Hamarsgata 4,HF-9-1,,,,,,
Hamarsgata 6,HF-9-1,,,,,,
Hamarsgata 8,HF-9-2,,,,,,
Hofgarðar 1,,,,,,,
Hofgarðar 2,,,,,,,
Hofgarðar 3,,,,,,,
Hofgarðar 4,,,,,,,
Hofgarðar 5,,,,,,,
Hofgarðar 6,HF-3-40,,,,,,
Hofgarðar 7,,,,,,,
Hofgarðar 8,,,,,,,
Hofgarðar 9,,,,,,,
Hofgarðar 10,,,,,,,
Hofgarðar 11,,,,,,,
Hofgarðar 12,,,,,,,
Hofgarðar 13,,,,,,,
Hofgarðar 15,,,,,,,
Hofgarðar 17,HF-3-41,HB-3-42,,,,,
Hofgarðar 18,,,,,,,
Hofgarðar 19,HF-3-41,HB-3-42,,,,,
Hofgarðar 20,,,,,,,
Hofgarðar 21,HF-3-41,HB-3-42,,,,,
Hofgarðar 22,,,,,,,
Hofgarðar 23,HF-3-41,HB-3-42,,,,,
Hofgarðar 24,,,,,,,
Hofgarðar 25,HF-3-41,HB-3-42,,,,,
Hofgarðar 26,,,,,,,
Hrólfsskálavör 12,HF-6-3,HB-6-4,,,,,
Hrólfsskálavör 1,HF-6-3,HB-6-4,,,,,
Hrólfsskálavör 2,HF-6-3,HB-6-4,,,,,
Hrólfsskálavör 3,HF-6-3,HB-6-4,,,,,
Hrólfsskálavör 4,HF-6-3,HB-6-4,,,,,
Hrólfsskálavör 5,HF-6-3,HB-6-4,,,,,
Hrólfsskálavör 6,HF-6-3,HB-6-4,,,,,
Hrólfsskálavör 7,HF-1-21,,,,,,
Hrólfsskálavör 8,HF-6-3,HB-6-4,,,,,
Hrólfsskálavör 9,HF-1-21,,,,,,
Hrólfsskálavör 10,HF-6-3,HB-6-4,,,,,
Hrólfsskálavör 11,HF-1-21,,,,,,
Hrólfsskálavör 13,HF-1-21,,,,,,
Hrólfsskálavör 14,HF-6-3,HB-6-4,,,,,
Hrólfsskálavör 15,HF-1-21,,,,,,
Kirkjubraut 1,HF-1-7,,,,,,
Kirkjubraut 3,HF-1-7,,,,,,
Kirkjubraut 4,HF-1-5,,,,,,
Kirkjubraut 5,HF-1-7,,,,,,
Kirkjubraut 6,HF-1-5,,,,,,
Kirkjubraut 7,HF-1-7,,,,,,
Kirkjubraut 8,HF-1-5,,,,,,
Kirkjubraut 9,HF-1-7,,,,,,
Kirkjubraut 10,HF-1-5,,,,,,
Kirkjubraut 11,HF-1-7,,,,,,
Kirkjubraut 12,HF-1-5,,,,,,
Kirkjubraut 13,HF-1-7,,,,,,
Kirkjubraut -Snjóbræðsla,,,,,,,
Kirkjubraut 14,HF-1-5,,,,,,
Kirkjubraut 15,,,,,,,
Kirkjubraut 16,HF-1-5,,,,,,
Kirkjubraut 17,,,,,,,
Kirkjubraut 18,HF-1-5,,,,,,
Kirkjubraut 21,,,,,,,
Kolbeinsmýri 1,HF-8-14,HB-8-13,,,,,
Kolbeinsmýri 2,HF-8-10,HB-8-9,,,,,
Kolbeinsmýri 3,HF-8-14,HB-8-13,,,,,
Kolbeinsmýri 4,HF-8-10,HB-8-9,,,,,
Kolbeinsmýri 5,HF-8-14,HB-8-13,,,,,
Kolbeinsmýri 6,HF-8-10,HB-8-9,,,,,
Kolbeinsmýri 7,HF-8-14,HB-8-13,,,,,
Kolbeinsmýri 8,HF-8-10,HB-8-9,,,,,
Kolbeinsmýri 9,HF-8-14,HB-8-13,,,,,
Kolbeinsmýri 10,HF-8-10,HB-8-9,,,,,
Kolbeinsmýri 11,HF-8-14,HB-8-13,,,,,
Kolbeinsmýri 12,HF-8-14,HB-8-13,,,,,
Kolbeinsmýri 14,HF-8-14,HB-8-13,,,,,
Lambastaðabraut 1,,,,,,,
Lambastaðabraut 2,HF-9-2,,,,,,
Lambastaðabraut 3,HF-9-2,HF-9-13,,,,,
Lambastaðabraut 4,HF-9-2,HF-9-13,,,,,
Lambastaðabraut 5,HF-9-2,HF-9-13,,,,,
Lambastaðabraut 6,HF-9-2,HF-9-13,,,,,
Lambastaðabraut 7,HF-9-2,HF-9-13,,,,,
Lambastaðabraut 8,HF-9-2,HF-9-13,,,,,
Lambastaðabraut 9,HF-9-13,HF-9-12,,,,,
Lambastaðabraut 10,HF-9-12,HF-9-13,HF-9-6,,,,
Lambastaðabraut 11,HF-9-13,HF-9-12,,,,,
Lambastaðabraut 12,HF-9-12,HF-9-13,HF-9-6,,,,
Lambastaðabraut 13,HF-9-13,HF-9-12,,,,,
Lambastaðabraut 14,HF-9-12,HF-9-13,HF-9-6,,,,
Lambastaðabraut 15,HF-9-12,,,,,,
Látraströnd 1,,,,,,,
Látraströnd 2,,,,,,,
Látraströnd 3,,,,,,,
Látraströnd 4,,,,,,,
Látraströnd 5,,,,,,,
Látraströnd 6,,,,,,,
Látraströnd 7,,,,,,,
Látraströnd 8,,,,,,,
Látraströnd 9,,,,,,,
Látraströnd 10,,,,,,,
Látraströnd 11,,,,,,,
Látraströnd 12,,,,,,,
Látraströnd 13,,,,,,,
Látraströnd 14,,,,,,,
Látraströnd 15,,,,,,,
Látraströnd 16,,,,,,,
Látraströnd 17,,,,,,,
Látraströnd 18,,,,,,,
Látraströnd 19,,,,,,,
Látraströnd 20,,,,,,,
Látraströnd 21,,,,,,,
Látraströnd 21 - sundlaug,,,,,,,
Látraströnd 22,,,,,,,
Látraströnd 24,,,,,,,
Látraströnd 26,,,,,,,
Látraströnd 28,,,,,,,
Látraströnd 30,,,,,,,
Látraströnd 32,,,,,,,
Látraströnd 34,,,,,,,
Látraströnd 36,,,,,,,
Látraströnd 38,,,,,,,
Látraströnd 40,,,,,,,
Látraströnd 42,,,,,,,
Látraströnd 44,,,,,,,
Látraströnd 46,,,,,,,
Látraströnd 48,,,,,,,
Látraströnd 50,,,,,,,
Látraströnd 52,,,,,,,
Látraströnd 54,,,,,,,
Látraströnd 56,,,,,,,
Látraströnd 58,,,,,,,
Lindarbraut 1,HF-2-18,HB-2-19,,,,,
Lindarbraut 2,,,,,,,
Lindarbraut 2A,,,,,,,
Lindarbraut 3,HF-2-18,HB-2-19,,,,,
Lindarbraut 4,,,,,,,
Lindarbraut 5,HF-2-18,HB-2-19,,,,,
Lindarbraut 6,,,,,,,
Lindarbraut 7,HF-2-18,HB-2-19,,,,,
Lindarbraut 8,,,,,,,
Lindarbraut 9,HF-2-18,HB-2-19,,,,,
Lindarbraut 10,,,,,,,
Lindarbraut 11,HF-2-18,HB-2-19,,,,,
Lindarbraut 12,,,,,,,
Lindarbraut 13,HF-2-18,HB-2-19,,,,,
Lindarbraut 14,,,,,,,
Lindarbraut 15,HF-3-6,,,,,,
Lindarbraut 15 A,,,,,,,
Lindarbraut 16,HF-3-5,,,,,,
Lindarbraut 17,HF-3-6,,,,,,
Lindarbraut 17a,,,,,,,
Lindarbraut 18,,,,,,,
Lindarbraut 19,,,,,,,
Lindarbraut 20,,,,,,,
Lindarbraut 21,,,,,,,
Lindarbraut 23,,,,,,,
Lindarbraut 24,,,,,,,
Lindarbraut 25,,,,,,,
Lindarbraut 26,,,,,,,
Lindarbraut 28,,,,,,,
Lindarbraut 29,HB-3-30,,,,,,
Lindarbraut 30,,,,,,,
Lindarbraut 31,,,,,,,
Lindarbraut 33,HF-3-32,,,,,,
Lindarbraut 35,HF-3-34,HF-3-35,HF-3-38,HB-3-39,,,
Lindarbraut 37,HF-3-34,HF-3-35,HF-3-38,HB-3-39,,,
Lindarbraut 39,HF-3-38,HB-3-39,,,,,
Lindarbraut 41,HF-3-38,HB-3-39,,,,,
Lindarbraut 43,HF-3-38,HB-3-39,,,,,
Lindarbraut 45,HF-3-38,HB-3-39,,,,,
Lindarbraut 47,HF-3-38,HB-3-39,,,,,
Melabraut 1,,,,,,,
Melabraut 2,,,,,,,
Melabraut 3,,,,,,,
Melabraut 4,,,,,,,
Melabraut 5,,,,,,,
Melabraut 6,,,,,,,
Melabraut 7,,,,,,,
Melabraut 8,,,,,,,
Melabraut 9,,,,,,,
Melabraut 10,,,,,,,
Melabraut 11,,,,,,,
Melabraut 12,,,,,,,
Melabraut 13,,,,,,,
Melabraut 14,,,,,,,
Melabraut 15,,,,,,,
Melabraut 16,,,,,,,
Melabraut 17,,,,,,,
Melabraut 18,,,,,,,
Melabraut 19,,,,,,,
Melabraut 20,,,,,,,
Melabraut 21,,,,,,,
Melabraut 22,,,,,,,
Melabraut 23,,,,,,,
Melabraut 24,,,,,,,
Melabraut 25,,,,,,,
Melabraut 26,,,,,,,
Melabraut 27,,,,,,,
Melabraut 28,,,,,,,
Melabraut 29,,,,,,,
Melabraut 30,,,,,,,
Melabraut 31,,,,,,,
Melabraut 32,,,,,,,
Melabraut 33,,,,,,,
Melabraut 34,,,,,,,
Melabraut 35,,,,,,,
Melabraut 36,,,,,,,
Melabraut 37,,,,,,,
Melabraut 38,,,,,,,
Melabraut 40,,,,,,,
Melabraut 44,HF-3-28,HB-3-29,,,,,
Melabraut 46,,,,,,,
Melabraut 50,,,,,,,
Melabraut 52,,,,,,,
Melabraut 54,,,,,,,
Melabraut 42,,,,,,,
Melabraut 48,,,,,,,
Melabraut 50,HF-3-22,HB-3-23,,,,,
Miðbraut 1,,,,,,,
Miðbraut 2,HF-2-22,HF-2-23,,,,,
Miðbraut 3,,,,,,,
Miðbraut 4,HF-2-22,HF-2-23,,,,,
Miðbraut 5,,,,,,,
Miðbraut 6,HF-2-22,HF-2-23,,,,,
Miðbraut 7,,,,,,,
Miðbraut 8,HF-2-22,HF-2-23,,,,,
Miðbraut 9,,,,,,,
Miðbraut 10,,,,,,,
Miðbraut 11,,,,,,,
Miðbraut 12,,,,,,,
Miðbraut 13,,,,,,,
Miðbraut 14,,,,,,,
Miðbraut 15,,,,,,,
Miðbraut 16,,,,,,,
Miðbraut 17,,,,,,,
Miðbraut 18,,,,,,,
Miðbraut 19,,,,,,,
Miðbraut 20,,,,,,,
Miðbraut 21,,,,,,,
Miðbraut 22,,,,,,,
Miðbraut 23,,,,,,,
Miðbraut 25a,,,,,,,
Miðbraut 25,,,,,,,
Miðbraut 26,,,,,,,
Miðbraut 27,,,,,,,
Miðbraut 28,,,,,,,
Miðbraut 29,,,,,,,
Miðbraut 30,,,,,,,
Miðbraut 31,,,,,,,
Miðbraut 32,,,,,,,
Miðbraut 33,,,,,,,
Miðbraut 34,,,,,,,
Miðbraut 36,,,,,,,
Miðbraut 38,,,,,,,
Miðbraut 40,,,,,,,
Nesbali 1, HF-4-7, HB-4-6,HF-4-9,HB-4-8,,,
Nesbali 2, HF-4-7, HB-4-6,,,,,
Nesbali 3, HF-4-7, HB-4-6,,,,,
Nesbali 4, HF-4-7, HB-4-6,,,,,
Nesbali 5, HF-4-7, HB-4-6,,,,,
Nesbali 6, HF-4-7, HB-4-6,,,,,
Nesbali 7, HF-4-7, HB-4-6,,,,,
Nesbali 8, HF-4-7, HB-4-6,,,,,
Nesbali 9, HF-4-7, HB-4-6,,,,,
Nesbali 10, HF-4-7, HB-4-6,,,,,
Nesbali 11, HF-4-7, HB-4-6,,,,,
Nesbali 12, HF-4-7, HB-4-6,,,,,
Nesbali 13, HF-4-7, HB-4-6,,,,,
Nesbali 14, HF-4-7, HB-4-6,,,,,
Nesbali 15, HF-4-7, HB-4-6,,,,,
Nesbali 16, HF-4-7, HB-4-6,,,,,
Nesbali 17,HF-4-5,HB-4-4,,,,,
Nesbali 18, HF-4-7, HB-4-6,,,,,
Nesbali 19,HF-4-5,HB-4-4,,,,,
Nesbali 20, HF-4-7, HB-4-6,,,,,
Nesbali 21,HF-4-5,HB-4-4,,,,,
Nesbali 22, HF-4-7, HB-4-6,,,,,
Nesbali 23,HF-4-5,HB-4-4,,,,,
Nesbali 24, HF-4-7, HB-4-6,,,,,
Nesbali 25,HF-4-5,HB-4-4,,,,,
Nesbali 26, HF-4-7, HB-4-6,,,,,
Nesbali 27,HF-4-5,HB-4-4,,,,,
Nesbali 28, HF-4-7, HB-4-6,,,,,
